sentence_id,language_code,expression,hint
1,EN,Hello,Common greeting used any time of day
1,ES,Hola,Saludo común para cualquier momento del día
1,ZH,你好,nǐ hǎo - 最常用的问候语 (가장 흔한 인사말)
1,JA,こんにちは,こんにちは(konnichiwa) - 日中の挨拶 (낮 인사)
1,KO,안녕하세요,가장 기본적인 한국어 인사말. 격식체. annyeonghaseyo
2,EN,Goodbye,Said to the person who is leaving
2,ES,Adiós,Se dice a la persona que se va
2,ZH,再见,zài jiàn - 告别用语 (작별 인사)
2,JA,さようなら,さようなら(sayōnara) - 別れの挨拶 (작별 인사)
2,KO,안녕히 가세요,떠나는 사람에게 하는 인사. annyeonghi gaseyo
3,EN,Goodbye,Said to the person who is staying behind
3,ES,Adiós,Se dice a la persona que se queda
3,ZH,再见,zài jiàn - 对留下的人说的告别语 (남는 사람에게 하는 작별 인사)
3,JA,さようなら,さようなら(sayōnara) - 残る人への挨拶 (남는 사람에게 하는 인사)
3,KO,안녕히 계세요,남아 있는 사람에게 하는 인사. annyeonghi gyeseyo
4,EN,Thank you,Formal expression of gratitude
4,ES,Gracias,Expresión formal de agradecimiento
4,ZH,谢谢,xiè xiè - 表示感谢 (감사 표현)
4,JA,ありがとうございます,ありがとうございます(arigatō gozaimasu) - 丁寧な感謝 (정중한 감사)
4,KO,감사합니다,정중한 감사 표현. 격식체. gamsahamnida
5,EN,Thank you,Slightly softer than 감사합니다 but still polite
5,ES,Gracias,"Un poco menos formal que 감사합니다, pero cortés"
5,ZH,谢谢,xiè xiè - 感谢（稍随意）(약간 부드러운 감사)
5,JA,ありがとう,ありがとう(arigatō) - やや親しい感謝 (친근한 감사)
5,KO,고맙습니다,감사합니다보다 약간 부드러운 감사 표현. gomapseumnida
6,EN,I'm sorry,"Apology, slightly casual but polite"
6,ES,Lo siento,Disculpa cortés
6,ZH,对不起,duì bu qǐ - 道歉用语 (사과 표현)
6,JA,すみません,すみません(sumimasen) - 謝罪表現 (사과 표현)
6,KO,미안합니다,사과 표현. 죄송합니다보다 약간 가벼운 느낌. mianhamnida
7,EN,I'm very sorry,Very formal apology
7,ES,Lo siento mucho,Disculpa muy formal
7,ZH,非常抱歉,fēi cháng bào qiàn - 正式道歉 (격식 사과)
7,JA,申し訳ありません,もうしわけありません(mōshiwake arimasen) - 正式な謝罪 (격식 사과)
7,KO,죄송합니다,매우 정중한 사과 표현. 격식체. joesonghamnida
8,EN,Yes,Affirmative response
8,ES,Sí,Respuesta afirmativa
8,ZH,是,shì - 肯定回答 (긍정 대답)
8,JA,はい,はい(hai) - 肯定の返事 (긍정 대답)
8,KO,네,긍정의 대답. 격식체. ne
9,EN,No,Negative response
9,ES,No,Respuesta negativa
9,ZH,不是,bú shì - 否定回答 (부정 대답)
9,JA,いいえ,いいえ(iie) - 否定の返事 (부정 대답)
9,KO,아니요,부정의 대답. 격식체. aniyo
10,EN,Excuse me,Used to get attention or apologize for interrupting
10,ES,Disculpe,Se usa para llamar la atención o pedir permiso
10,ZH,打扰一下,dǎ rǎo yí xià - 打扰时用语 (실례할 때 쓰는 말)
10,JA,すみません,すみません(sumimasen) - 注意を引く表現 (주의를 끌 때)
10,KO,실례합니다,다른 사람에게 말을 걸 때 쓰는 정중한 표현. sillyehamnida
11,EN,I,"First person pronoun, informal"
11,ES,Yo,Pronombre de primera persona
11,ZH,我,wǒ - 第一人称代词 (1인칭 대명사)
11,JA,私,わたし(watashi) - 一人称代名詞 (1인칭 대명사)
11,KO,나,1인칭 대명사. 비격식. 친구나 아랫사람에게 사용. na
12,EN,I,"First person pronoun, humble/formal"
12,ES,Yo,"Pronombre de primera persona, formal"
12,ZH,我,"wǒ - 第一人称（正式）(1인칭, 격식)"
12,JA,私,"わたくし(watakushi) - 一人称（謙譲）(1인칭, 겸양)"
12,KO,저,1인칭 대명사. 격식체. 윗사람에게 사용. jeo
13,EN,You,"Second person pronoun, informal"
13,ES,Tú,"Pronombre de segunda persona, informal"
13,ZH,你,nǐ - 第二人称代词 (2인칭 대명사)
13,JA,君,"きみ(kimi) - 二人称（親しい）(2인칭, 친근)"
13,KO,너,2인칭 대명사. 비격식. 친구나 아랫사람에게 사용. neo
14,EN,You,"Second person pronoun, formal"
14,ES,Usted,"Pronombre de segunda persona, formal"
14,ZH,您,"nín - 第二人称（尊敬）(2인칭, 존경)"
14,JA,あなた,"あなた(anata) - 二人称（丁寧）(2인칭, 정중)"
14,KO,당신,2인칭 대명사. 격식체. 실제 대화에서는 잘 안 씀. dangsin
15,EN,He,Third person masculine pronoun
15,ES,Él,Pronombre de tercera persona masculino
15,ZH,他,tā - 第三人称（男）(3인칭 남성)
15,JA,彼,かれ(kare) - 三人称（男性）(3인칭 남성)
15,KO,그,3인칭 남성 대명사. geu
16,EN,She,Third person feminine pronoun
16,ES,Ella,Pronombre de tercera persona femenino
16,ZH,她,tā - 第三人称（女）(3인칭 여성)
16,JA,彼女,かのじょ(kanojo) - 三人称（女性）(3인칭 여성)
16,KO,그녀,3인칭 여성 대명사. geunyeo
17,EN,It,Third person pronoun for things
17,ES,Eso,Pronombre para cosas
17,ZH,它,tā - 第三人称（物）(3인칭 사물)
17,JA,それ,それ(sore) - 物を指す代名詞 (사물 대명사)
17,KO,그것,3인칭 사물 대명사. geugeot
18,EN,We,First person plural pronoun
18,ES,Nosotros,Pronombre de primera persona plural
18,ZH,我们,wǒ men - 第一人称复数 (1인칭 복수)
18,JA,私たち,わたしたち(watashitachi) - 一人称複数 (1인칭 복수)
18,KO,우리,1인칭 복수 대명사. '우리 가족' 등으로 많이 사용. uri
19,EN,They,Third person plural pronoun
19,ES,Ellos,Pronombre de tercera persona plural
19,ZH,他们,tā men - 第三人称复数 (3인칭 복수)
19,JA,彼ら,かれら(karera) - 三人称複数 (3인칭 복수)
19,KO,그들,3인칭 복수 대명사. geudeul
20,EN,Everyone,Addressing a group of people
20,ES,Todos ustedes,Dirigirse a un grupo de personas
20,ZH,大家,dà jiā - 对大家说 (여러 사람에게)
20,JA,皆さん,みなさん(minasan) - 皆様 (여러분)
20,KO,여러분,여러 사람을 가리키는 2인칭 복수. yeoreobun
21,EN,This,Demonstrative for something near the speaker
21,ES,Esto,Demostrativo para algo cerca del hablante
21,ZH,这个,"zhè ge - 指示代词（近）(지시대명사, 가까운 것)"
21,JA,これ,これ(kore) - 近くの物を指す (가까운 것)
21,KO,이것,말하는 사람 가까이에 있는 것을 가리킴. igeot
22,EN,That,Demonstrative for something near the listener
22,ES,Eso,Demostrativo para algo cerca del oyente
22,ZH,那个,"nà ge - 指示代词（中距离）(지시대명사, 중간 거리)"
22,JA,それ,それ(sore) - 聞き手の近くの物 (듣는 사람 근처)
22,KO,그것,듣는 사람 가까이에 있는 것을 가리킴. geugeot
23,EN,That over there,Demonstrative for something far from both speakers
23,ES,Aquello,Demostrativo para algo lejos de ambos
23,ZH,那个,"nà ge - 指示代词（远）(지시대명사, 먼 것)"
23,JA,あれ,あれ(are) - 遠くの物を指す (먼 것)
23,KO,저것,말하는 사람과 듣는 사람 모두에게서 먼 것. jeogeot
24,EN,Here,Place near the speaker
24,ES,Aquí,Lugar cerca del hablante
24,ZH,这里,"zhè lǐ - 这里（近处）(여기, 가까운 곳)"
24,JA,ここ,ここ(koko) - 近い場所 (가까운 장소)
24,KO,여기,말하는 사람 가까이의 장소. yeogi
25,EN,There,Place near the listener
25,ES,Ahí,Lugar cerca del oyente
25,ZH,那里,"nà lǐ - 那里（中距离）(거기, 중간 거리)"
25,JA,そこ,そこ(soko) - 聞き手の近くの場所 (듣는 사람 근처)
25,KO,거기,듣는 사람 가까이의 장소. geogi
26,EN,Over there,Place far from both speakers
26,ES,Allá,Lugar lejos de ambos hablantes
26,ZH,那边,"nà biān - 那边（远处）(저기, 먼 곳)"
26,JA,あそこ,あそこ(asoko) - 遠い場所 (먼 장소)
26,KO,저기,말하는 사람과 듣는 사람 모두에게서 먼 장소. jeogi
27,EN,This way,Direction near the speaker
27,ES,Por aquí,Dirección cerca del hablante
27,ZH,这边,"zhè biān - 这边（方向）(이쪽, 방향)"
27,JA,こちら,こちら(kochira) - こちらの方 (이쪽 방향)
27,KO,이쪽,말하는 사람 쪽의 방향. ijjok
28,EN,That way,Direction far from both speakers
28,ES,Por allá,Dirección lejos de ambos hablantes
28,ZH,那边,"nà biān - 那边（方向）(저쪽, 방향)"
28,JA,あちら,あちら(achira) - あちらの方 (저쪽 방향)
28,KO,저쪽,먼 쪽의 방향. jeojjok
29,EN,This place,Formal way to say 'here'
29,ES,Este lugar,Forma formal de decir 'aquí'
29,ZH,这个地方,zhè ge dì fāng - 这个地方 (이 장소)
29,JA,この場所,このばしょ(kono basho) - この場所 (이 장소)
29,KO,이곳,'여기'의 격식체 표현. igot
30,EN,That place,Formal way to say 'over there'
30,ES,Aquel lugar,Forma formal de decir 'allá'
30,ZH,那个地方,nà ge dì fāng - 那个地方 (저 장소)
30,JA,あの場所,あのばしょ(ano basho) - あの場所 (저 장소)
30,KO,저곳,'저기'의 격식체 표현. jeogot
31,EN,Good,"Adjective meaning good, fine"
31,ES,Bueno,Adjetivo que significa bueno
31,ZH,好,"hǎo - 形容词，好的 (형용사, 좋은)"
31,JA,いい,"いい(ii) - 良い、形容詞 (좋은, 형용사)"
31,KO,좋다,기본 형용사. 상태가 좋음. 반대말: 나쁘다. jota
32,EN,Bad,Adjective meaning bad
32,ES,Malo,Adjetivo que significa malo
32,ZH,坏,"huài - 形容词，坏的 (형용사, 나쁜)"
32,JA,悪い,"わるい(warui) - 悪い、形容詞 (나쁜, 형용사)"
32,KO,나쁘다,기본 형용사. 상태가 나쁨. 반대말: 좋다. nappeuda
33,EN,Happy,Adjective meaning happy
33,ES,Feliz,Adjetivo que significa feliz
33,ZH,幸福,"xìng fú - 形容词，幸福的 (형용사, 행복한)"
33,JA,幸せ,しあわせ(shiawase) - 幸せ、形容詞 (행복한)
33,KO,행복하다,감정 형용사. 행복한 상태. haengbokada
34,EN,Sad,Adjective meaning sad
34,ES,Triste,Adjetivo que significa triste
34,ZH,难过,"nán guò - 形容词，难过的 (형용사, 슬픈)"
34,JA,悲しい,かなしい(kanashii) - 悲しい、形容詞 (슬픈)
34,KO,슬프다,감정 형용사. 슬픈 상태. 반대말: 기쁘다. seulpeuda
35,EN,Hungry,Adjective meaning hungry
35,ES,Hambriento,Adjetivo que significa hambriento
35,ZH,饿,"è - 形容词，饿的 (형용사, 배고픈)"
35,JA,お腹がすいた,おなかがすいた(onaka ga suita) - お腹が空いた (배고프다)
35,KO,배고프다,신체 상태 형용사. 배가 고픈 상태. baegeopeuda
36,EN,Tired,Adjective meaning tired
36,ES,Cansado,Adjetivo que significa cansado
36,ZH,累,"lèi - 形容词，累的 (형용사, 피곤한)"
36,JA,疲れた,つかれた(tsukareta) - 疲れた、形容詞 (피곤한)
36,KO,피곤하다,신체 상태 형용사. 피곤한 상태. pigonhada
37,EN,Glad,"Adjective meaning glad, pleased"
37,ES,Contento,Adjetivo que significa contento
37,ZH,高兴,"gāo xìng - 形容词，高兴的 (형용사, 기쁜)"
37,JA,嬉しい,うれしい(ureshii) - 嬉しい、形容詞 (기쁜)
37,KO,기쁘다,감정 형용사. 기쁜 상태. 행복하다보다 순간적. gippeuda
38,EN,Angry,Adjective meaning angry
38,ES,Enojado,Adjetivo que significa enojado
38,ZH,生气,"shēng qì - 形容词，生气的 (형용사, 화난)"
38,JA,怒った,おこった(okotta) - 怒った、形容詞 (화난)
38,KO,화나다,감정 형용사. 화가 난 상태. hwanada
39,EN,Scary,Adjective meaning scary or frightened
39,ES,Asustado,Adjetivo que significa asustado o aterrador
39,ZH,害怕,"hài pà - 形容词，害怕的 (형용사, 무서운)"
39,JA,怖い,こわい(kowai) - 怖い、形容詞 (무서운)
39,KO,무섭다,감정 형용사. 무서운 상태 또는 대상. museopda
40,EN,Okay,"Adjective meaning okay, alright"
40,ES,Está bien,Expresión que significa estar bien
40,ZH,没关系,"méi guān xi - 没关系 (괜찮다, 상관없다)"
40,JA,大丈夫,だいじょうぶ(daijōbu) - 大丈夫 (괜찮다)
40,KO,괜찮다,상태가 괜찮음을 나타냄. 위로할 때도 사용. gwaenchanta
41,EN,One,Cardinal number 1
41,ES,Uno,Número cardinal 1
41,ZH,一,yī - 数字1 (숫자 1)
41,JA,一つ,"ひとつ(hitotsu) - 数字1 (숫자 1, 고유 수사)"
41,KO,하나,고유어 숫자 1. 물건을 셀 때 사용. hana
42,EN,Two,Cardinal number 2
42,ES,Dos,Número cardinal 2
42,ZH,二,èr - 数字2 (숫자 2)
42,JA,二つ,"ふたつ(futatsu) - 数字2 (숫자 2, 고유 수사)"
42,KO,둘,고유어 숫자 2. dul
43,EN,Three,Cardinal number 3
43,ES,Tres,Número cardinal 3
43,ZH,三,sān - 数字3 (숫자 3)
43,JA,三つ,"みっつ(mittsu) - 数字3 (숫자 3, 고유 수사)"
43,KO,셋,고유어 숫자 3. set
44,EN,Four,Cardinal number 4
44,ES,Cuatro,Número cardinal 4
44,ZH,四,sì - 数字4 (숫자 4)
44,JA,四つ,"よっつ(yottsu) - 数字4 (숫자 4, 고유 수사)"
44,KO,넷,고유어 숫자 4. net
45,EN,Five,Cardinal number 5
45,ES,Cinco,Número cardinal 5
45,ZH,五,wǔ - 数字5 (숫자 5)
45,JA,五つ,"いつつ(itsutsu) - 数字5 (숫자 5, 고유 수사)"
45,KO,다섯,고유어 숫자 5. daseot
46,EN,Six,Cardinal number 6
46,ES,Seis,Número cardinal 6
46,ZH,六,liù - 数字6 (숫자 6)
46,JA,六つ,"むっつ(muttsu) - 数字6 (숫자 6, 고유 수사)"
46,KO,여섯,고유어 숫자 6. yeoseot
47,EN,Seven,Cardinal number 7
47,ES,Siete,Número cardinal 7
47,ZH,七,qī - 数字7 (숫자 7)
47,JA,七つ,"ななつ(nanatsu) - 数字7 (숫자 7, 고유 수사)"
47,KO,일곱,고유어 숫자 7. ilgop
48,EN,Eight,Cardinal number 8
48,ES,Ocho,Número cardinal 8
48,ZH,八,bā - 数字8 (숫자 8)
48,JA,八つ,"やっつ(yattsu) - 数字8 (숫자 8, 고유 수사)"
48,KO,여덟,고유어 숫자 8. yeodeol
49,EN,Nine,Cardinal number 9
49,ES,Nueve,Número cardinal 9
49,ZH,九,jiǔ - 数字9 (숫자 9)
49,JA,九つ,"ここのつ(kokonotsu) - 数字9 (숫자 9, 고유 수사)"
49,KO,아홉,고유어 숫자 9. ahop
50,EN,Ten,Cardinal number 10
50,ES,Diez,Número cardinal 10
50,ZH,十,shí - 数字10 (숫자 10)
50,JA,十,じゅう(jū) - 数字10 (숫자 10)
50,KO,열,고유어 숫자 10. yeol
51,EN,Mom,Informal word for mother
51,ES,Mamá,Palabra informal para madre
51,ZH,妈妈,"mā ma - 妈妈（非正式）(엄마, 비격식)"
51,JA,お母さん,おかあさん(okāsan) - お母さん (어머니)
51,KO,엄마,어머니의 비격식 표현. 가족 호칭. eomma
52,EN,Dad,Informal word for father
52,ES,Papá,Palabra informal para padre
52,ZH,爸爸,"bà ba - 爸爸（非正式）(아빠, 비격식)"
52,JA,お父さん,おとうさん(otōsan) - お父さん (아버지)
52,KO,아빠,아버지의 비격식 표현. 가족 호칭. appa
53,EN,Older brother,Used by males for their older brother
53,ES,Hermano mayor,Usado por hombres para su hermano mayor
53,ZH,哥哥,"gē ge - 哥哥（男性用）(형, 남성이 사용)"
53,JA,お兄さん,おにいさん(oniisan) - お兄さん (형/오빠)
53,KO,형,남자가 손위 남자 형제를 부르는 호칭. hyeong
54,EN,Older sister,Used by males for their older sister
54,ES,Hermana mayor,Usado por hombres para su hermana mayor
54,ZH,姐姐,"jiě jie - 姐姐（男性用）(누나, 남성이 사용)"
54,JA,お姉さん,おねえさん(onēsan) - お姉さん (누나/언니)
54,KO,누나,남자가 손위 여자 형제를 부르는 호칭. nuna
55,EN,Younger sibling,Younger brother or sister
55,ES,Hermano/a menor,Hermano o hermana menor
55,ZH,弟弟/妹妹,dì di/mèi mei - 弟弟或妹妹 (남동생 또는 여동생)
55,JA,弟/妹,おとうと/いもうと(otōto/imōto) - 弟または妹 (동생)
55,KO,동생,손아래 형제자매를 부르는 호칭. 성별 무관. dongsaeng
56,EN,Grandmother,Grandma
56,ES,Abuela,Abuelita
56,ZH,奶奶,nǎi nai - 奶奶/外婆 (할머니)
56,JA,おばあさん,おばあさん(obāsan) - おばあさん (할머니)
56,KO,할머니,아버지 또는 어머니의 어머니. halmeoni
57,EN,Grandfather,Grandpa
57,ES,Abuelo,Abuelito
57,ZH,爷爷,yé ye - 爷爷/外公 (할아버지)
57,JA,おじいさん,おじいさん(ojiisan) - おじいさん (할아버지)
57,KO,할아버지,아버지 또는 어머니의 아버지. harabeoji
58,EN,Family,Noun meaning family
58,ES,Familia,Sustantivo que significa familia
58,ZH,家人,"jiā rén - 家人，家庭 (가족, 가정)"
58,JA,家族,かぞく(kazoku) - 家族 (가족)
58,KO,가족,함께 사는 혈연관계의 사람들. gajok
59,EN,Parents,Father and mother
59,ES,Padres,Padre y madre
59,ZH,父母,fù mǔ - 父母 (부모)
59,JA,両親,"りょうしん(ryōshin) - 両親 (양친, 부모)"
59,KO,부모님,아버지와 어머니를 함께 부르는 존칭. bumonim
60,EN,Child,"A young person, kid"
60,ES,Niño,"Persona joven, chico"
60,ZH,孩子,"hái zi - 孩子，小孩 (아이, 어린이)"
60,JA,子ども,こども(kodomo) - 子供 (아이)
60,KO,아이,어린 사람. 자녀를 뜻하기도 함. ai
61,EN,Head,"Body part, top of the body"
61,ES,Cabeza,"Parte del cuerpo, parte superior"
61,ZH,头,"tóu - 身体部位，头部 (신체 부위, 머리)"
61,JA,頭,"あたま(atama) - 頭、体の部位 (머리, 신체 부위)"
61,KO,머리,신체 부위. 머리카락을 뜻하기도 함. meori
62,EN,Eye,"Body part, organ of sight"
62,ES,Ojo,"Parte del cuerpo, órgano de la vista"
62,ZH,眼睛,"yǎn jīng - 身体部位，眼睛 (신체 부위, 눈)"
62,JA,目,"め(me) - 目、体の部位 (눈, 신체 부위)"
62,KO,눈,신체 부위. '눈(snow)'과 같은 형태. nun
63,EN,Nose,"Body part, organ of smell"
63,ES,Nariz,"Parte del cuerpo, órgano del olfato"
63,ZH,鼻子,"bí zi - 身体部位，鼻子 (신체 부위, 코)"
63,JA,鼻,"はな(hana) - 鼻、体の部位 (코, 신체 부위)"
63,KO,코,신체 부위. 냄새를 맡는 기관. ko
64,EN,Mouth,Body part used for eating and speaking
64,ES,Boca,Parte del cuerpo para comer y hablar
64,ZH,嘴,"zuǐ - 身体部位，嘴巴 (신체 부위, 입)"
64,JA,口,"くち(kuchi) - 口、体の部位 (입, 신체 부위)"
64,KO,입,신체 부위. 먹고 말하는 기관. ip
65,EN,Ear,"Body part, organ of hearing"
65,ES,Oreja,"Parte del cuerpo, órgano del oído"
65,ZH,耳朵,"ěr duo - 身体部位，耳朵 (신체 부위, 귀)"
65,JA,耳,"みみ(mimi) - 耳、体の部位 (귀, 신체 부위)"
65,KO,귀,신체 부위. 소리를 듣는 기관. gwi
66,EN,Hand,Body part at the end of the arm
66,ES,Mano,Parte del cuerpo al final del brazo
66,ZH,手,"shǒu - 身体部位，手 (신체 부위, 손)"
66,JA,手,"て(te) - 手、体の部位 (손, 신체 부위)"
66,KO,손,신체 부위. 물건을 잡는 부분. son
67,EN,Foot,Body part at the end of the leg
67,ES,Pie,Parte del cuerpo al final de la pierna
67,ZH,脚,"jiǎo - 身体部位，脚 (신체 부위, 발)"
67,JA,足,"あし(ashi) - 足、体の部位 (발, 신체 부위)"
67,KO,발,신체 부위. 걸을 때 사용하는 부분. bal
68,EN,Arm,Body part between shoulder and hand
68,ES,Brazo,Parte del cuerpo entre hombro y mano
68,ZH,胳膊,"gē bo - 身体部位，胳膊 (신체 부위, 팔)"
68,JA,腕,"うで(ude) - 腕、体の部位 (팔, 신체 부위)"
68,KO,팔,신체 부위. 어깨와 손 사이. 숫자 8과 동음. pal
69,EN,Leg,Body part used for walking
69,ES,Pierna,Parte del cuerpo para caminar
69,ZH,腿,"tuǐ - 身体部位，腿 (신체 부위, 다리)"
69,JA,脚,"あし(ashi) - 脚、体の部位 (다리, 신체 부위)"
69,KO,다리,신체 부위. 걷기에 사용. 다리(bridge)와 동음. dari
70,EN,Face,Front part of the head
70,ES,Cara,Parte frontal de la cabeza
70,ZH,脸,"liǎn - 身体部位，脸 (신체 부위, 얼굴)"
70,JA,顔,"かお(kao) - 顔、体の部位 (얼굴, 신체 부위)"
70,KO,얼굴,신체 부위. 머리의 앞부분. eolgul
71,EN,Red,"Color of fire, blood"
71,ES,Rojo,"Color del fuego, la sangre"
71,ZH,红色,"hóng sè - 颜色，红色 (색상, 빨간색)"
71,JA,赤,あか(aka) - 赤い色 (빨간색)
71,KO,빨간색,"기본 색상. 불, 피의 색. ppalgansaek"
72,EN,Blue,"Color of sky, ocean"
72,ES,Azul,"Color del cielo, océano"
72,ZH,蓝色,"lán sè - 颜色，蓝色 (색상, 파란색)"
72,JA,青,あお(ao) - 青い色 (파란색)
72,KO,파란색,"기본 색상. 하늘, 바다의 색. paransaek"
73,EN,Yellow,"Color of the sun, bananas"
73,ES,Amarillo,"Color del sol, plátanos"
73,ZH,黄色,"huáng sè - 颜色，黄色 (색상, 노란색)"
73,JA,黄色,きいろ(kiiro) - 黄色い色 (노란색)
73,KO,노란색,"기본 색상. 태양, 바나나의 색. noransaek"
74,EN,Green,"Color of grass, leaves"
74,ES,Verde,"Color del pasto, hojas"
74,ZH,绿色,"lǜ sè - 颜色，绿色 (색상, 초록색)"
74,JA,緑,みどり(midori) - 緑色 (초록색)
74,KO,초록색,"기본 색상. 풀, 잎의 색. choroksaek"
75,EN,White,"Color of snow, milk"
75,ES,Blanco,"Color de la nieve, leche"
75,ZH,白色,"bái sè - 颜色，白色 (색상, 하얀색)"
75,JA,白,しろ(shiro) - 白い色 (하얀색)
75,KO,하얀색,"기본 색상. 눈, 우유의 색. hayansaek"
76,EN,Black,"Color of night, coal"
76,ES,Negro,"Color de la noche, carbón"
76,ZH,黑色,"hēi sè - 颜色，黑色 (색상, 검은색)"
76,JA,黒,くろ(kuro) - 黒い色 (검은색)
76,KO,검은색,"기본 색상. 밤, 석탄의 색. geomeunsaek"
77,EN,Orange,Color between red and yellow
77,ES,Naranja,Color entre rojo y amarillo
77,ZH,橙色,"chéng sè - 颜色，橙色 (색상, 주황색)"
77,JA,オレンジ,オレンジ(orenji) - オレンジ色 (주황색)
77,KO,주황색,기본 색상. 빨간색과 노란색의 중간. juhwangsaek
78,EN,Purple,Color between red and blue
78,ES,Morado,Color entre rojo y azul
78,ZH,紫色,"zǐ sè - 颜色，紫色 (색상, 보라색)"
78,JA,紫,むらさき(murasaki) - 紫色 (보라색)
78,KO,보라색,기본 색상. 빨간색과 파란색의 중간. borasaek
79,EN,Pink,Light red color
79,ES,Rosa,Color rojo claro
79,ZH,粉红色,"fěn hóng sè - 颜色，粉红色 (색상, 분홍색)"
79,JA,ピンク,ピンク(pinku) - ピンク色 (분홍색)
79,KO,분홍색,기본 색상. 연한 빨간색. bunhongsaek
80,EN,Brown,"Color of earth, chocolate"
80,ES,Marrón,"Color de la tierra, chocolate"
80,ZH,棕色,"zōng sè - 颜色，棕色 (색상, 갈색)"
80,JA,茶色,ちゃいろ(chairo) - 茶色 (갈색)
80,KO,갈색,"기본 색상. 흙, 초콜릿의 색. galsaek"
81,EN,House,A building where people live
81,ES,Casa,Edificio donde vive la gente
81,ZH,家,"jiā - 房子，住所 (집, 거주지)"
81,JA,家,"いえ(ie) - 家、住む場所 (집, 사는 곳)"
81,KO,집,사람이 사는 건물. 가정을 뜻하기도 함. jip
82,EN,Door,Opening in a wall for entry
82,ES,Puerta,Abertura en la pared para entrar
82,ZH,门,"mén - 门，出入口 (문, 출입구)"
82,JA,ドア,ドア(doa) - 出入り口 (출입구)
82,KO,문,출입구에 설치된 것. 열고 닫을 수 있음. mun
83,EN,Window,Opening in a wall for light and air
83,ES,Ventana,Abertura en la pared para luz y aire
83,ZH,窗户,chuāng hu - 窗户 (창문)
83,JA,窓,まど(mado) - 窓 (창문)
83,KO,창문,벽에 있는 빛과 공기를 위한 개구부. changmun
84,EN,Table,Flat surface with legs for placing things
84,ES,Mesa,Superficie plana con patas para poner cosas
84,ZH,桌子,zhuō zi - 桌子 (탁자)
84,JA,テーブル,テーブル(tēburu) - テーブル (탁자)
84,KO,탁자,물건을 올려놓는 가구. '테이블'이라고도 함. takja
85,EN,Chair,Seat with a back for one person
85,ES,Silla,Asiento con respaldo para una persona
85,ZH,椅子,yǐ zi - 椅子 (의자)
85,JA,椅子,いす(isu) - 椅子 (의자)
85,KO,의자,앉기 위한 가구. uija
86,EN,Bed,Furniture for sleeping
86,ES,Cama,Mueble para dormir
86,ZH,床,"chuáng - 床，睡觉的家具 (침대, 잠자는 가구)"
86,JA,ベッド,ベッド(beddo) - ベッド (침대)
86,KO,침대,잠을 자기 위한 가구. chimdae
87,EN,Room,A space within a building
87,ES,Habitación,Un espacio dentro de un edificio
87,ZH,房间,fáng jiān - 房间 (방)
87,JA,部屋,へや(heya) - 部屋 (방)
87,KO,방,건물 안의 공간. bang
88,EN,Kitchen,Room where food is prepared
88,ES,Cocina,Habitación donde se prepara la comida
88,ZH,厨房,chú fáng - 厨房 (부엌)
88,JA,台所,だいどころ(daidokoro) - 台所 (부엌)
88,KO,부엌,음식을 만드는 방. bueok
89,EN,Bathroom,Room with toilet and sink
89,ES,Baño,Habitación con inodoro y lavabo
89,ZH,卫生间,wèi shēng jiān - 卫生间，厕所 (화장실)
89,JA,トイレ,トイレ(toire) - トイレ (화장실)
89,KO,화장실,용변을 보는 방. hwajangshil
90,EN,Mirror,Reflective surface to see yourself
90,ES,Espejo,Superficie reflectante para verse
90,ZH,镜子,jìng zi - 镜子 (거울)
90,JA,鏡,かがみ(kagami) - 鏡 (거울)
90,KO,거울,모습을 비추는 물건. geoul
